case_id,variant,dice_RV,hd95_RV,dice_Myo,hd95_Myo,dice_LV,hd95_LV,mean_dice,voxelspacing_used
patient001_ed.nii,vanilla_unet,0.92916123424598,2.209708691207961,0.8803614976330512,1.5625,0.9747590637907297,1.5625,0.9280939318899203,"(np.float32(10.0), np.float32(1.5625), np.float32(1.5625))"
patient001_es.nii,vanilla_unet,0.8709677419354839,3.4938562148434213,0.9006294106427618,1.5625,0.9674114441416893,1.5625,0.9130028655733117,"(np.float32(10.0), np.float32(1.5625), np.float32(1.5625))"
patient021_ed.nii,vanilla_unet,0.9437466831770741,1.6796875,0.9293316065093755,1.6796875,0.9624194994701231,1.6796875,0.9451659297188576,"(np.float32(10.0), np.float32(1.6796875), np.float32(1.6796875))"
patient021_es.nii,vanilla_unet,0.7980349344978166,10.0,0.9273538156590684,7.126310529145674,0.9201853759011328,2.375436843048558,0.8818580420193393,"(np.float32(10.0), np.float32(1.6796875), np.float32(1.6796875))"
patient041_ed.nii,vanilla_unet,0.9477470655054904,1.7857099771499634,0.9031552070034653,1.7857099771499634,0.9656786271450858,1.7857099771499634,0.9388602998846806,"(np.float32(10.0), np.float32(1.78571), np.float32(1.78571))"
patient041_es.nii,vanilla_unet,0.7656187823318743,18.268402241663612,0.7944088526499709,13.000164864036336,0.8436018957345972,11.203128178323382,0.8012098435721474,"(np.float32(10.0), np.float32(1.78571), np.float32(1.78571))"
patient061_ed.nii,vanilla_unet,0.9645761694230665,1.3671875,0.9088799643016511,1.3671875,0.9785796337590378,1.3671875,0.9506785891612518,"(np.float32(10.0), np.float32(1.3671875), np.float32(1.3671875))"
patient061_es.nii,vanilla_unet,0.9101344207823592,2.734375,0.9393298633702017,1.3671875,0.9484038604305864,1.3671875,0.9326227148610492,"(np.float32(10.0), np.float32(1.3671875), np.float32(1.3671875))"
patient081_ed.nii,vanilla_unet,0.9294405784706294,5.518769841112587,0.824874331117237,3.3035800457000732,0.9446440793976728,50.566438864692316,0.899652996328513,"(np.float32(5.0), np.float32(1.65179), np.float32(1.65179))"
patient081_es.nii,vanilla_unet,0.871121996734313,5.0,0.8983553951062976,1.6517900228500366,0.9435815211945084,2.3359838525070864,0.9043529710117063,"(np.float32(5.0), np.float32(1.65179), np.float32(1.65179))"
patient001_ed.nii,mcp_net_no_connections,0.9010671007415446,4.941058844013093,0.8346164056278206,10.0,0.9458156028368795,10.0,0.8938330364020816,"(np.float32(10.0), np.float32(1.5625), np.float32(1.5625))"
patient001_es.nii,mcp_net_no_connections,0.8149498632634458,14.823176532039279,0.880355051470135,3.125,0.9266396933560477,10.0,0.8739815360298762,"(np.float32(10.0), np.float32(1.5625), np.float32(1.5625))"
patient021_ed.nii,mcp_net_no_connections,0.9119746233148295,3.359375,0.9130942452043369,2.375436843048558,0.9609261939218524,1.6796875,0.928665020813673,"(np.float32(10.0), np.float32(1.6796875), np.float32(1.6796875))"
patient021_es.nii,mcp_net_no_connections,0.8084248263499888,10.481458041010317,0.8957882069795428,10.0,0.8597701149425288,10.0,0.8546610494240201,"(np.float32(10.0), np.float32(1.6796875), np.float32(1.6796875))"
patient041_ed.nii,mcp_net_no_connections,0.6572949946751864,10.158186852115534,0.867741935483871,3.9929688970069144,0.9016203703703703,21.133233898409536,0.8088857668431425,"(np.float32(10.0), np.float32(1.78571), np.float32(1.78571))"
patient041_es.nii,mcp_net_no_connections,0.33176972281449896,10.618617635548032,0.8296703296703297,11.293821536562232,0.8037302103665148,14.396854099491318,0.6550567542837812,"(np.float32(10.0), np.float32(1.78571), np.float32(1.78571))"
patient061_ed.nii,mcp_net_no_connections,0.9284054442846077,5.46875,0.886110635382771,1.933495104806966,0.967660198706408,1.3671875,0.9273920927912623,"(np.float32(10.0), np.float32(1.3671875), np.float32(1.3671875))"
patient061_es.nii,mcp_net_no_connections,0.764505119453925,10.456864171479959,0.8980608986839032,10.0,0.8405374777400032,10.0,0.8343678319592772,"(np.float32(10.0), np.float32(1.3671875), np.float32(1.3671875))"
patient081_ed.nii,mcp_net_no_connections,0.8457103845862095,65.53596026269499,0.8363606611029292,4.5251997656088045,0.9568616997645386,4.671967705014173,0.8796442484845591,"(np.float32(5.0), np.float32(1.65179), np.float32(1.65179))"
patient081_es.nii,mcp_net_no_connections,0.7630664074008603,56.61719426332385,0.8800835878476129,4.671967705014173,0.9215927750410509,5.0,0.8549142567631747,"(np.float32(5.0), np.float32(1.65179), np.float32(1.65179))"
patient001_ed.nii,full_mcp_net,0.940464875140413,1.5625,0.8948655256723717,1.5625,0.9782879960069878,1.5625,0.9378727989399241,"(np.float32(10.0), np.float32(1.5625), np.float32(1.5625))"
patient001_es.nii,full_mcp_net,0.8663294797687862,3.4938562148434213,0.9079139430094562,1.5625,0.9671095621868874,1.5625,0.91378432832171,"(np.float32(10.0), np.float32(1.5625), np.float32(1.5625))"
patient021_ed.nii,full_mcp_net,0.9355629486954999,1.6796875,0.9303586557469641,1.6796875,0.9623852465675522,1.6796875,0.9427689503366721,"(np.float32(10.0), np.float32(1.6796875), np.float32(1.6796875))"
patient021_es.nii,full_mcp_net,0.860984393757503,3.359375,0.9203889245348206,10.0,0.8777832756061356,10.0,0.8863855312994864,"(np.float32(10.0), np.float32(1.6796875), np.float32(1.6796875))"
patient041_ed.nii,full_mcp_net,0.9454340896306019,1.7857099771499634,0.9154562383612663,1.7857099771499634,0.9669920966992097,1.7857099771499634,0.942627474897026,"(np.float32(10.0), np.float32(1.78571), np.float32(1.78571))"
patient041_es.nii,full_mcp_net,0.8751625487646294,2.525375268150428,0.9215870040612308,1.7857099771499634,0.9521507974867085,1.7857099771499634,0.9163001167708563,"(np.float32(10.0), np.float32(1.78571), np.float32(1.78571))"
patient061_ed.nii,full_mcp_net,0.9620294070124414,1.3671875,0.9105633176114621,1.3671875,0.968408262454435,1.3671875,0.9470003290261128,"(np.float32(10.0), np.float32(1.3671875), np.float32(1.3671875))"
patient061_es.nii,full_mcp_net,0.7608318890814558,10.093027378351664,0.9248656883970813,1.933495104806966,0.8568133135607184,10.367102133220499,0.8475036303464186,"(np.float32(10.0), np.float32(1.3671875), np.float32(1.3671875))"
patient081_ed.nii,full_mcp_net,0.9308522857799219,5.518769841112587,0.8667788057190917,1.6517900228500366,0.9753091814884411,1.6517900228500366,0.9243134243291516,"(np.float32(5.0), np.float32(1.65179), np.float32(1.65179))"
patient081_es.nii,full_mcp_net,0.9059361749609462,5.0,0.9124111182934712,1.6517900228500366,0.9537227277174445,1.6517900228500366,0.924023340323954,"(np.float32(5.0), np.float32(1.65179), np.float32(1.65179))"
